date_of_stay,trip_type,date_of_review,review,review_title,nationality
Stayed 1 night in May 2018,Family with young children,"Reviewed May 14, 2018","During check in, I was ask if I want to upgrade to a better room for $30. And I do so, wow, the room is huge and we have a super cool view that we can enjoy the sun rise. My kids love the big bath tub. The breakfast is ok-ok. check in is abit slow, but staff is friendly. Manage to get a late check out at 1pm. Overall I think my family love this hotel staycation. ",Great hotel”,Ruifen from Singapore
Stayed 1 night in April 2018,Couple,"Reviewed April 29, 2018","Checking in awhile as the hotel was fairly busy and there was a line. Front desk was apologetic about the wait and offered me a late check-out which I greatly appreciate.
The room was comfortable and pillows divine, however some of the furniture seems worn in comparison to some of the other hotels in the area. TV was first class, with some of the recent blockbusters available on demand for free.
Now on to the disappointing part - the breakfast. I was told at check-in that breakfast hours were 6.30am - 10am. I proceeded downstairs at 9.10am and to my horror there was a line that had formed outside the restaurant all the way to the elevators. People were actually waiting to be seated for a buffet breakfast. I was not seated until 9.45am. There was still a long line behind me when I gave the reception my room number. I asked if breakfast hours would be extended to accommodate those guests behind me and was told ""no, since they did not want to come down before 9"". Was not impressed.",Standards have dropped”,Fannison from Singapore
Stayed 1 night in April 2018,Business traveler,"Reviewed April 25, 2018","This is my N time coming back to Mandarin Orchard when I stopover Singapore. The overall environment is fantastic, hotel serves sumptuous breakfast with variety choices of food. The proximity is near to everything and anything you need in Singapore! ",Strategic location and close to city ”,Raei from Malaysia
Stayed 1 night in April 2018,Group,"Reviewed April 17, 2018","Last stayed in Jan’18.
Have to say the most annoying would still be the complicated lifts.

Pros :
+ Superb location
+ Decently spacious room and bathroom
+ Fluffy and clean towels

Cons :
- Old rooms for the unfurbished ones
",Decent stay”,Melanie from Singapore
Stayed 1 night in March 2018,Couple,"Reviewed April 02, 2018","I had to wait 3 hours to check-in. I arrived on time at 145pm, was told by the staff that my room was not ready. I said okay, so I went for lunch, had a hair cut, went shopping. Came back at 4:00 and the room still was not ready. The front desk staff told me to take a seat and wait, she would give me a call when the room was ready. Waited for another 30 mins and I got rather impatient. Went to approach another staff and got the room immediately! It was quite a nightmare for me. Apart from the long waiting time, the hotel experience was rather pleasant.",Long waiting time during check-in”,Samson from Singapore
Stayed 4 nights in March 2018,Family with young children,"Reviewed March 29, 2018",We went to ask for an extra bed and it was going to be 100singapore $/night so we decided to just let our son sleep on the floor. The staff brought in an extra bed for free...for 3 nights!! So thoughtful!!,Very friendly and considerate of families”,Lal from Myanmar
Stayed 2 nights in March 2018,Couple,"Reviewed March 28, 2018","Stayed at Mandarin Orchard and were delighted with the service, staff and location. The pool is a tad bit small and the gym is a trek to get to( read warm up) but the hotel is a really nice place to stay. We wanted a place where we could hang out at the club level, pool and gym and do some sight seeing. Hotel did not disappoint- they even had a smart phone to help us call, book taxis and get maps whilst we were out and about. Little touches like this make lives easier. Club level facilities included breakfast, afternoon tea and ... cocktails.  Would stay again. ",Lovely hotel in the heart of Orchard”,Alan from United Kingdom
Stayed 3 nights in March 2018,Family with young children,"Reviewed March 25, 2018","It’s a great place to stay!  Staff were friendly and pleasant, especially the manager at the reception.  Hotel is clean and tidy, but room has horrible mold/mildew smell which my sensitive nose can pretty much smells it.",A Great Place to Stay”,Teddy from Indonesia
Stayed 1 night in March 2018,Couple,"Reviewed March 22, 2018","As usual... Great hotel, great location... plus we got free upgrade, prob coz one night stay, appreciate it aniwez... 
we were on transit from our holiday in phuket and straight away felt different in terms of cleanliness here, overall... we’re just happy with this stay.. 😊👍",Thanks for the upgrade!!”,Greace from Indonesia
Stayed 2 nights in March 2018,Family with young children,"Reviewed March 21, 2018","Location is great if you are going to spend a lot of time in Orchard area. We stayed at the main tower as it has been renovated recently and the rooms are nicer. Staffs can be busy and did not pick up the phone a few times. Breakfast was okay, but the coffee was just a self serve from coffee machine. But no worries as they are plenty of nice coffee places nearby. ",Great location”,Dina from Indonesia
Stayed 1 night in March 2018,Solo traveler,"Reviewed March 21, 2018",I arrived SG 6am in the morning and was too early to check in. Reception gave me an option of a bigger room without early check in fees. I needed to top up another $100 on top of my original price which was good. Love The Meritus Club Lounge. Great staff!!!,Not Bad at all”,ben from Australia
Stayed 3 nights in September 2018,Family with young children,"Reviewed February 27, 2019",Best location and a pleasant hotel. ,Family from Malaysia”,Wei from Malaysia
Stayed 3 nights in February 2019,Business traveler,"Reviewed February 24, 2019","It was very pleasure.
Especially Meritus lounge experience was very nice.
But I left my electronic adopter in my room.
I stayed your hotel 20~23rd Feb room#2407.
How can I return back to me?",It was very pleasure.”,Dae
Stayed 5 nights in February 2019,Family with teens,"Reviewed February 07, 2019",More could be done to improve the breakfast and pool area. ,Lovely hotel. Good location”,Fatima from South Africa
Stayed 3 nights in November 2018,Family with young children,"Reviewed December 06, 2018",they have the best location if you want to stroll around orchard area. I brought my parents (dad is old & having trouble of walking so much).. but he walks fine around there. the staff is very helpful. they even give more drink water when we ask for it. love the cleaning lady so much. we had a very pleasant time there.,best location & service”,Irine from Indonesia
